,data,precipitacao,pressao_atmosferica,pressao_max,pressao_min,radiacao,temperatura_do_ar,temperatura_orvalho,temperatura_max,temperatura_min,temperatura_orvalho_max,temperatura_orvalho_min,umidade_max,umidade_min,umidade_relativa,direcao_vento,rajada_max,velocidade_media_vento
0,2015-01-01,1.2333333333333334,905.4791666666666,905.8083333333334,905.2,1933.3142857142852,23.079166666666666,17.691666666666666,24.0375,22.1,18.65,16.833333333333332,79.75,69.08333333333333,74.625,216.5,5.370833333333334,0.8458333333333333
1,2015-01-02,1.25,1810.8791666666666,1811.4250000000002,1810.3666666666668,2893.678571428571,45.8,38.3125,47.37916666666667,44.24583333333333,39.72083333333333,36.983333333333334,170.83333333333331,154.58333333333331,163.25,429.375,7.058333333333334,0.9166666666666666
2,2015-01-03,1.2666666666666666,2718.0333333333333,2718.8125,2717.1916666666666,4039.5357142857138,67.3375,57.97916666666667,69.6375,65.27916666666667,60.02083333333333,56.15416666666666,262.5833333333333,240.83333333333331,252.5,573.7916666666666,10.141666666666666,1.1416666666666666
3,2015-01-04,1.9,3625.9125,3626.945833333333,3624.8416666666667,5195.828571428571,88.04583333333332,76.74166666666667,91.16666666666667,85.52916666666667,79.46666666666667,74.39999999999999,354.04166666666663,326.375,341.7083333333333,754.5833333333333,13.095833333333333,1.5083333333333333
4,2015-01-05,2.591666666666667,4534.5375,4535.795833333334,4533.179166666667,6175.543956043955,107.44166666666666,95.02083333333333,111.22916666666667,104.23749999999998,98.3125,91.98333333333332,449.7083333333333,416.5833333333333,435.25,947.7499999999999,15.054166666666667,1.6416666666666666
5,2015-01-06,2.7083333333333335,5443.954166666666,5445.429166666667,5442.4,7373.115384615385,127.81666666666666,112.97083333333333,132.1125,124.08333333333331,116.82916666666667,109.225,540.0416666666666,500.125,522.25,1137.6666666666665,17.495833333333334,1.8083333333333331
6,2015-01-07,2.7083333333333335,6352.275,6353.966666666667,6350.604166666667,9270.42967032967,149.50833333333333,129.48333333333332,154.50416666666666,145.14583333333331,134.0,125.25416666666666,618.2083333333333,571.0833333333333,596.625,1357.6249999999998,21.25,2.625
7,2015-01-08,2.7083333333333335,7260.2,7262.0875,7258.379166666667,11002.2010989011,172.1625,146.79583333333332,177.96666666666667,167.14583333333331,152.00833333333333,141.90833333333333,694.9583333333333,639.6666666666666,669.5416666666667,1555.3749999999998,24.675,3.2375
8,2015-01-09,2.7083333333333335,8167.775,8169.825,8165.770833333333,12925.665384615384,194.9375,162.57083333333333,201.57083333333333,189.22083333333333,168.56666666666666,157.05416666666665,766.125,701.4583333333333,736.1666666666667,1772.9999999999998,28.8125,3.9166666666666665
9,2015-01-10,2.7083333333333335,9075.125,9077.341666666667,9072.9625,14843.586813186812,218.80416666666665,177.4625,226.32083333333333,212.2458333333333,184.4875,170.87916666666666,830.1666666666666,754.2916666666666,794.5,1970.6249999999998,32.92916666666667,4.675
10,2015-01-11,2.7083333333333335,9982.266666666666,9984.65,9979.925,16739.622527472526,241.57083333333333,194.39166666666665,249.875,234.27499999999998,202.03333333333333,186.79583333333332,905.4166666666666,820.875,866.5416666666667,2158.5416666666665,35.5125,5.0375
11,2015-01-12,2.7083333333333335,10889.245833333332,10891.854166666668,10886.7125,18613.851098901097,265.72916666666663,211.30833333333334,274.8208333333333,257.7833333333333,219.81666666666666,203.0375,976.375,884.4166666666666,933.7083333333334,2347.708333333333,38.725,5.520833333333333
12,2015-01-13,2.7083333333333335,11796.166666666666,11798.991666666667,11793.425,20341.601098901097,289.09166666666664,229.675,299.05,280.47499999999997,238.9,220.86249999999998,1055.125,955.75,1008.9583333333334,2524.2916666666665,41.295833333333334,6.083333333333333
13,2015-01-14,2.7083333333333335,12703.329166666666,12706.358333333334,12700.354166666666,21957.87967032967,311.91666666666663,249.14583333333334,322.55,302.66249999999997,258.94166666666666,239.81666666666666,1139.9166666666667,1034.4166666666665,1091.0,2699.875,44.108333333333334,6.645833333333333
14,2015-01-15,2.7083333333333335,13610.845833333333,13614.004166666668,13607.666666666666,23433.936813186814,335.3958333333333,268.17083333333335,346.72083333333336,325.35833333333335,278.57916666666665,258.19166666666666,1221.2916666666667,1108.375,1168.375,2866.958333333333,47.55833333333333,7.0625
15,2015-01-16,2.7083333333333335,14519.15,14522.479166666668,14515.829166666666,24986.493956043956,357.48749999999995,287.1791666666667,369.5291666666667,346.825,298.24583333333334,276.55833333333334,1307.75,1188.5,1251.8333333333333,3036.958333333333,50.104166666666664,7.45
16,2015-01-17,2.7083333333333335,15426.016666666666,15429.5375,15422.583333333334,26855.593956043955,379.86249999999995,303.4791666666667,392.6541666666667,368.43333333333334,315.2416666666667,291.8625,1382.6666666666667,1255.6666666666665,1323.25,3211.375,53.7875,8.1125
17,2015-01-18,2.7083333333333335,16332.795833333334,16336.466666666667,16329.1875,28714.943956043957,402.8666666666667,320.05833333333334,416.5208333333333,390.69166666666666,332.7583333333333,307.59166666666664,1457.2916666666667,1321.9166666666665,1393.6666666666667,3404.6666666666665,57.020833333333336,8.745833333333334
18,2015-01-19,2.7083333333333335,17239.7375,17243.595833333333,17235.975,30558.372527472526,426.54999999999995,337.57916666666665,440.92083333333335,413.62916666666666,351.075,324.2583333333333,1532.0,1389.0,1464.5,3611.2916666666665,59.74583333333334,9.245833333333334
19,2015-01-20,2.7083333333333335,18145.233333333334,18149.30416666667,18141.345833333333,32396.286813186813,450.2,354.42083333333335,465.325,436.5083333333333,368.6125,340.2833333333333,1604.0,1452.9166666666665,1532.875,3795.6249999999995,63.24583333333334,9.966666666666667
20,2015-01-21,3.0666666666666664,19050.445833333335,19054.675,19046.3125,34001.551098901095,472.72499999999997,372.62083333333334,488.7083333333333,458.2583333333333,387.59999999999997,357.625,1686.25,1527.0416666666665,1611.5416666666667,3969.4999999999995,65.975,10.5
21,2015-01-22,3.2666666666666666,19957.020833333332,19961.4875,19952.608333333334,35053.36538461538,493.075,391.0541666666667,509.70416666666665,478.04166666666663,406.75,375.5833333333333,1778.2083333333333,1613.9166666666665,1700.7083333333335,4132.416666666666,69.09166666666667,10.7625
22,2015-01-23,4.683333333333334,20864.445833333335,20869.158333333333,20859.816666666666,36771.165384615386,513.4875,408.525,530.7208333333333,497.77916666666664,425.075,392.2083333333333,1866.75,1694.75,1785.25,4312.958333333333,72.40416666666667,11.166666666666666
23,2015-01-24,4.791666666666667,21771.479166666668,21776.425,21766.675,37625.3510989011,533.4625,425.7916666666667,551.3083333333334,517.3041666666667,442.8208333333333,409.0833333333333,1954.3333333333333,1777.0416666666665,1870.5416666666667,4561.125,75.7,11.545833333333333
24,2015-01-25,5.041666666666667,22677.95,22683.208333333336,22672.920833333334,39023.43681318681,553.6708333333333,441.53749999999997,572.3791666666667,536.675,459.375,423.97499999999997,2036.125,1848.875,1947.625,4813.583333333333,79.8375,12.2375
25,2015-01-26,5.05,23584.120833333334,23589.570833333335,23578.895833333332,40076.852197802196,574.75,459.425,594.1625,557.1583333333333,477.8958333333333,441.1375,2122.6666666666665,1926.9166666666665,2030.3333333333335,5017.625,83.20833333333333,12.645833333333334
26,2015-01-27,6.116666666666667,24490.991666666665,24496.641666666666,24485.5125,41346.57527472528,595.9583333333333,477.41249999999997,616.3416666666667,577.6,496.5083333333333,458.52916666666664,2209.3333333333335,2005.3333333333333,2113.4166666666665,5234.666666666666,86.50416666666666,12.979166666666666
27,2015-01-28,6.133333333333333,25397.908333333333,25403.808333333334,25392.1875,42931.675274725276,617.5583333333333,496.3666666666667,638.5208333333334,598.5541666666667,515.9833333333333,476.79999999999995,2298.7083333333335,2088.4166666666665,2199.7083333333335,5427.791666666666,89.52083333333333,13.2875
28,2015-01-29,6.133333333333333,26303.775,26309.92916666667,26297.820833333335,44744.08956043956,641.4416666666666,514.525,663.2333333333333,621.7083333333333,534.9708333333333,494.1375,2375.5,2157.0416666666665,2272.5416666666665,5663.25,93.0375,13.804166666666667
29,2015-01-30,6.175,27209.9875,27216.345833333333,27203.720833333333,45811.560989010984,663.9416666666666,534.0125,686.4958333333333,643.7041666666667,555.1333333333333,513.175,2462.1666666666665,2237.125,2356.4166666666665,5822.583333333333,95.9125,14.070833333333333
30,2015-01-31,6.5,28118.245833333334,28124.854166666668,28111.74166666667,46661.82527472527,684.6958333333333,553.3125,707.825,663.9625,574.8916666666667,532.1166666666667,2555.7916666666665,2325.9166666666665,2447.9583333333335,5971.791666666666,98.3,14.275
31,2015-02-01,7.233333333333333,29026.483333333334,29033.49166666667,29019.55,48270.594505494504,705.5708333333333,572.0916666666667,729.4458333333333,684.1791666666667,594.4166666666666,550.2833333333333,2647.2083333333335,2410.8333333333335,2536.4583333333335,6138.875,102.00416666666666,14.566666666666666
32,2015-02-02,7.283333333333333,29933.920833333334,29941.191666666666,29926.6375,49081.202197802195,725.4041666666666,590.4958333333333,749.8458333333333,703.4333333333333,613.275,568.2583333333333,2741.5,2500.0416666666665,2628.25,6328.125,104.6125,14.829166666666666
33,2015-02-03,8.708333333333332,30839.708333333332,30847.35,30832.15,50481.171428571426,744.8958333333333,606.9041666666667,770.1875,722.2666666666667,630.3666666666667,584.0124999999999,2828.2916666666665,2579.3333333333335,2711.8333333333335,6568.333333333333,109.375,15.579166666666666
34,2015-02-04,8.916666666666666,31743.2,31751.175,31735.425,51935.18681318681,764.6291666666666,623.4875,790.5375,741.3583333333333,647.5124999999999,599.925,2914.5416666666665,2659.1666666666665,2795.5,6795.958333333333,113.56666666666666,16.1125
35,2015-02-05,9.966666666666667,32643.995833333334,32652.329166666666,32636.025,52535.6010989011,783.6875,640.6083333333333,810.0416666666666,759.9791666666666,664.8249999999999,616.7333333333333,3005.7083333333335,2745.0416666666665,2884.25,7048.416666666666,120.60833333333333,18.28333333333333
36,2015-02-06,10.466666666666667,33543.8625,33552.479166666664,33535.6,52996.70824175824,803.4833333333333,657.7083333333334,830.2916666666666,779.3708333333333,682.2958333333333,633.4625,3093.5416666666665,2826.375,2969.0833333333335,7301.999999999999,127.52916666666667,20.054166666666667
37,2015-02-07,10.633333333333333,34445.066666666666,34453.925,34436.44583333333,54383.6510989011,823.9958333333333,674.6541666666667,851.4208333333333,799.2666666666667,699.8708333333333,649.9,3178.125,2903.875,3050.0416666666665,7510.083333333333,132.375,20.695833333333333
